"slug","source_path","kind","n_rows","n_cols"
"arsau_2020_2022_dictionary","arsau_2020_2022_dictionary.json","dictionary",,
"arsau_2020_2022_useofforce_agrregatesummarybyyear_2020_2022","arsau/2020-2022/useofforce_agrregatesummarybyyear_2020-2022.csv","table",5,6
"arsau_2020_2022_useofforce_detaileddataset_2020_2022","arsau/2020-2022/useofforce_detaileddataset_2020-2022.csv","table",5,167
"arsau_2023_dictionary","arsau_2023_dictionary.json","dictionary",,
"arsau_2023_uof_individual_records","arsau/2023/uof_individual_records.csv","table",5,112
"arsau_2023_uof_main_records","arsau/2023/uof_main_records.csv","table",5,23
"arsau_2023_uof_probe_cycle_records","arsau/2023/uof_probe_cycle_records.csv","table",5,3
"arsau_2023_uof_weapon_records_invaliddata","arsau/2023/uof_weapon_records_invaliddata.csv","table",5,5
"arsau_2024_dictionary","arsau_2024_dictionary.json","dictionary",,
"arsau_2024_uof_individual_records","arsau/2024/uof_individual_records.csv","table",5,112
"arsau_2024_uof_main_records","arsau/2024/uof_main_records.csv","table",5,23
"arsau_2024_uof_probe_cycle_records","arsau/2024/uof_probe_cycle_records.csv","table",5,3
"arsau_2024_uof_weapon_records","arsau/2024/uof_weapon_records.csv","table",5,5
"arsau_uof_detailed_dataset_2020_2022_sample","arsau_uof_detailed_dataset_2020_2022_sample.csv","table",5,167
"arsau_uof_individual_records_sample","arsau_uof_individual_records_sample.csv","table",5,112
"calgary_community_crime_stats_sample","calgary_community_crime_stats_sample.csv","table",200,5
"calgary_fire_response_calls_sample","calgary_fire_response_calls_sample.csv","table",200,7
"calgary_fire_stations","calgary_fire_stations.csv","table",43,10
"calgary_opendata_bulk_catalog","calgary_opendata_bulk_catalog.csv","table",933,7
"calgary_opendata_crime_adjacent_catalog","calgary_opendata_crime_adjacent_catalog.csv","table",157,4
"chicago_iucr_codes","chicago_iucr_codes.csv","table",410,5
"chicago_neighborhoods","chicago_neighborhoods.csv","table",98,4
"chicago_opendata_bulk_catalog","chicago_opendata_bulk_catalog.csv","table",1856,7
"cihi_data_tables","cihi_data_tables.csv","table",232,7
"corrections_uof_dictionary","corrections_uof_dictionary.json","dictionary",,
"cpads_data_provenance","cpads_data_provenance.json","dictionary",,
"cpads_pumf_synthetic","cpads_pumf_synthetic.csv","table",500,394
"edmonton_opendata_bulk_catalog","edmonton_opendata_bulk_catalog.csv","table",2027,7
"edmonton_opendata_crime_adjacent_catalog","edmonton_opendata_crime_adjacent_catalog.csv","table",195,4
"montreal_opendata_bulk_catalog","montreal_opendata_bulk_catalog.csv","table",401,6
"montreal_sim_intervention_types","montreal_sim_intervention_types.csv","table",170,2
"montreal_sim_interventions_sample","montreal_sim_interventions_sample.csv","table",349,13
"nibrs_synthetic","nibrs_synthetic.csv","table",12,6
"nist_rds_synthetic","nist_rds_synthetic.csv","table",300,8
"nyc_ntas_2020","nyc_ntas_2020.csv","table",262,11
"nyc_nypd_offense_codes","nyc_nypd_offense_codes.csv","table",246,5
"nyc_opendata_bulk_catalog","nyc_opendata_bulk_catalog.csv","table",2851,7
"nyc_zctas","nyc_zctas.csv","table",221,7
"otis_a01_restrictive_confinement_sample","otis_a01_restrictive_confinement_sample.csv","table",5,10
"otis_b01_sample","otis_b01_sample.csv","table",1000,18
"otis_b01_segregation_detailed_sample","otis_b01_segregation_detailed_sample.csv","table",5,18
"otis_b02_segregation_total_days_sample","otis_b02_segregation_total_days_sample.csv","table",5,6
"otis_b03_seg_alerts_by_institution_sample","otis_b03_seg_alerts_by_institution_sample.csv","table",5,6
"otis_b04_seg_consecutive_by_region_sample","otis_b04_seg_consecutive_by_region_sample.csv","table",5,5
"otis_b05_seg_consecutive_lengths_sample","otis_b05_seg_consecutive_lengths_sample.csv","table",5,3
"otis_b06_seg_reason_by_institution_sample","otis_b06_seg_reason_by_institution_sample.csv","table",5,6
"otis_b07_seg_alerts_by_gender_sample","otis_b07_seg_alerts_by_gender_sample.csv","table",5,5
"otis_b08_seg_consecutive_by_institution_sample","otis_b08_seg_consecutive_by_institution_sample.csv","table",5,6
"otis_b09_sample","otis_b09_sample.csv","table",78,4
"otis_b09_seg_n_times_sample","otis_b09_seg_n_times_sample.csv","table",5,4
"otis_c01_individuals_total_sample","otis_c01_individuals_total_sample.csv","table",5,5
"otis_c02_individuals_by_institution_sample","otis_c02_individuals_by_institution_sample.csv","table",5,6
"otis_c03_individuals_race_by_gender_sample","otis_c03_individuals_race_by_gender_sample.csv","table",5,6
"otis_c04_individuals_race_by_region_sample","otis_c04_individuals_race_by_region_sample.csv","table",5,5
"otis_c05_individuals_religion_by_region_sample","otis_c05_individuals_religion_by_region_sample.csv","table",5,5
"otis_c06_individuals_age_by_region_sample","otis_c06_individuals_age_by_region_sample.csv","table",5,5
"otis_c07_individuals_alerts_sample","otis_c07_individuals_alerts_sample.csv","table",5,6
"otis_c08_individuals_religion_by_gender_sample","otis_c08_individuals_religion_by_gender_sample.csv","table",5,6
"otis_c09_individuals_age_by_gender_sample","otis_c09_individuals_age_by_gender_sample.csv","table",5,6
"otis_c10_aggregate_durations_by_institution_sample","otis_c10_aggregate_durations_by_institution_sample.csv","table",5,7
"otis_c11_aggregate_lengths_sample","otis_c11_aggregate_lengths_sample.csv","table",5,4
"otis_c11_sample","otis_c11_sample.csv","table",33,4
"otis_c12_aggregate_durations_by_region_sample","otis_c12_aggregate_durations_by_region_sample.csv","table",5,6
"otis_d01_deaths_in_custody_sample","otis_d01_deaths_in_custody_sample.csv","table",5,6
"otis_d02_deaths_by_gender_sample","otis_d02_deaths_by_gender_sample.csv","table",5,3
